Date,basin,SWSI
1984-09-01,Yampa_White_N_Platte,3.8
1984-09-01,Arkansas,2.1
1984-09-01,Rio_Grande,1.8
1984-09-01,San_Juan,3.3
1984-10-01,Gunnison,2.9
1984-10-01,Colorado,3.9
1984-10-01,South_Platte,3.6
1984-10-01,Yampa_White_N_Platte,3.7
1984-10-01,Arkansas,3.4
1984-10-01,Rio_Grande,1.9
1984-10-01,San_Juan,2.1
1984-11-01,Gunnison,3.5
1984-11-01,Colorado,4
1984-11-01,South_Platte,4
1984-11-01,Yampa_White_N_Platte,3.7
1984-11-01,Arkansas,3.3
1984-11-01,Rio_Grande,2.5
1984-11-01,San_Juan,2.7
1984-12-01,Gunnison,3.2
1984-12-01,Colorado,2
1984-12-01,South_Platte,2.2
1984-12-01,Yampa_White_N_Platte,2.4
1984-12-01,Arkansas,1.2
1984-12-01,Rio_Grande,2.5
1984-12-01,San_Juan,3.2
1985-01-01,Gunnison,3.2
1985-01-01,Colorado,2.6
1985-01-01,South_Platte,2.7
1985-01-01,Yampa_White_N_Platte,1.9
1985-01-01,Arkansas,3
1985-01-01,Rio_Grande,2.9
1985-01-01,San_Juan,2.8
1985-02-01,Gunnison,1.4
1985-02-01,Colorado,1
1985-02-01,South_Platte,2.5
1985-02-01,Yampa_White_N_Platte,0.3
1985-02-01,Arkansas,1.6
1985-02-01,Rio_Grande,2.3
1985-02-01,San_Juan,2
1985-03-01,Gunnison,0.2
1985-03-01,Colorado,-0.7
1985-03-01,South_Platte,1.6
1985-03-01,Yampa_White_N_Platte,-1.7
1985-03-01,Arkansas,-0.6
1985-03-01,Rio_Grande,2
1985-03-01,San_Juan,1.3
1985-04-01,Gunnison,1.9
1985-04-01,Colorado,-0.3
1985-04-01,South_Platte,1.6
1985-04-01,Yampa_White_N_Platte,-1.2
1985-04-01,Arkansas,0.4
1985-04-01,Rio_Grande,2.9
1985-04-01,San_Juan,2.1
1985-05-01,Gunnison,2.2
1985-05-01,Colorado,0.7
1985-05-01,South_Platte,1.7
1985-05-01,Yampa_White_N_Platte,-1.1
1985-05-01,Arkansas,0.8
1985-05-01,Rio_Grande,2.8
1985-05-01,San_Juan,2.2
1985-06-01,Gunnison,2.3
1985-06-01,Colorado,3.2
1985-06-01,South_Platte,3.4
1985-06-01,Yampa_White_N_Platte,3.2
1985-06-01,Arkansas,3.9
1985-06-01,Rio_Grande,3
1985-06-01,San_Juan,2.7
1985-07-01,Gunnison,2.8
1985-07-01,Colorado,2
1985-07-01,South_Platte,3.1
1985-07-01,Yampa_White_N_Platte,2.5
1985-07-01,Arkansas,3.2
1985-07-01,Rio_Grande,2.7
1985-07-01,San_Juan,2.4
1985-08-01,Gunnison,2.5
1985-08-01,Colorado,1.7
1985-08-01,South_Platte,3.4
1985-08-01,Yampa_White_N_Platte,2.3
1985-08-01,Arkansas,2.6
1985-08-01,Rio_Grande,2.7
1985-08-01,San_Juan,2.4
1985-09-01,Gunnison,1.4
1985-09-01,Colorado,1.7
1985-09-01,South_Platte,2.9
1985-09-01,Yampa_White_N_Platte,1.7
1985-09-01,Arkansas,0.3
1985-09-01,Rio_Grande,1.8
1985-09-01,San_Juan,0.9
1985-10-01,Gunnison,2.4
1985-10-01,Colorado,2.5
1985-10-01,South_Platte,3.8
1985-10-01,Yampa_White_N_Platte,2.1
1985-10-01,Arkansas,2.4
1985-10-01,Rio_Grande,2.9
1985-10-01,San_Juan,3.4
1985-11-01,Gunnison,3.2
1985-11-01,Colorado,3.7
1985-11-01,South_Platte,3.6
1985-11-01,Yampa_White_N_Platte,3.7
1985-11-01,Arkansas,2.3
1985-11-01,Rio_Grande,3.2
1985-11-01,San_Juan,3
1985-12-01,Gunnison,2.8
1985-12-01,Colorado,3.5
1985-12-01,South_Platte,2.2
1985-12-01,Yampa_White_N_Platte,3.8
1985-12-01,Arkansas,3.3
1985-12-01,Rio_Grande,1.8
1985-12-01,San_Juan,2.1
1986-01-01,Gunnison,2.7
1986-01-01,Colorado,3.6
1986-01-01,South_Platte,2.9
1986-01-01,Yampa_White_N_Platte,3.8
1986-01-01,Arkansas,2.2
1986-01-01,Rio_Grande,2
1986-01-01,San_Juan,1.6
1986-02-01,Gunnison,0.5
1986-02-01,Colorado,2.1
1986-02-01,South_Platte,2.3
1986-02-01,Yampa_White_N_Platte,1.3
1986-02-01,Arkansas,0.3
1986-02-01,Rio_Grande,-0.1
1986-02-01,San_Juan,-0.3
1986-03-01,Gunnison,1.9
1986-03-01,Colorado,3
1986-03-01,South_Platte,3.2
1986-03-01,Yampa_White_N_Platte,2.7
1986-03-01,Arkansas,2.2
1986-03-01,Rio_Grande,0
1986-03-01,San_Juan,0.6
1986-04-01,Gunnison,0.8
1986-04-01,Colorado,1.6
1986-04-01,South_Platte,2.5
1986-04-01,Yampa_White_N_Platte,2.6
1986-04-01,Arkansas,0.7
1986-04-01,Rio_Grande,0.8
1986-04-01,San_Juan,0.8
1986-05-01,Gunnison,1.1
1986-05-01,Colorado,1.9
1986-05-01,South_Platte,2.6
1986-05-01,Yampa_White_N_Platte,1.3
1986-05-01,Arkansas,0.8
1986-05-01,Rio_Grande,1.9
1986-05-01,San_Juan,1.8
1986-06-01,Gunnison,2.1
1986-06-01,Colorado,1.1
1986-06-01,South_Platte,2.9
1986-06-01,Yampa_White_N_Platte,2.4
1986-06-01,Arkansas,2.5
1986-06-01,Rio_Grande,2.2
1986-06-01,San_Juan,2.2
1986-07-01,Gunnison,3.3
1986-07-01,Colorado,1.2
1986-07-01,South_Platte,3.6
1986-07-01,Yampa_White_N_Platte,1.9
1986-07-01,Arkansas,3.3
1986-07-01,Rio_Grande,3
1986-07-01,San_Juan,2.2
1986-08-01,Gunnison,3.1
1986-08-01,Colorado,1.9
1986-08-01,South_Platte,3.3
1986-08-01,Yampa_White_N_Platte,3
1986-08-01,Arkansas,2.1
1986-08-01,Rio_Grande,2.1
1986-08-01,San_Juan,3
1986-09-01,Gunnison,1.9
1986-09-01,Colorado,2.1
1986-09-01,South_Platte,3.4
1986-09-01,Yampa_White_N_Platte,2.7
1986-09-01,Arkansas,3.1
1986-09-01,Rio_Grande,2.4
1986-09-01,San_Juan,1.5
1986-10-01,Gunnison,2.7
1986-10-01,Colorado,3.6
1986-10-01,South_Platte,3.4
1986-10-01,Yampa_White_N_Platte,3.5
1986-10-01,Arkansas,2.7
1986-10-01,Rio_Grande,3.3
1986-10-01,San_Juan,3.4
1986-11-01,Gunnison,3
1986-11-01,Colorado,3.9
1986-11-01,South_Platte,3.6
1986-11-01,Yampa_White_N_Platte,3.7
1986-11-01,Arkansas,2.6
1986-11-01,Rio_Grande,3.3
1986-11-01,San_Juan,3.3
1986-12-01,Gunnison,2.1
1986-12-01,Colorado,2.2
1986-12-01,South_Platte,2.6
1986-12-01,Yampa_White_N_Platte,3.5
1986-12-01,Arkansas,3.1
1986-12-01,Rio_Grande,2.1
1986-12-01,San_Juan,1.7
1987-01-01,Gunnison,1.5
1987-01-01,Colorado,0
1987-01-01,South_Platte,2.1
1987-01-01,Yampa_White_N_Platte,-2.2
1987-01-01,Arkansas,1.2
1987-01-01,Rio_Grande,1.2
1987-01-01,San_Juan,1
1987-02-01,Gunnison,0.6
1987-02-01,Colorado,-1.1
1987-02-01,South_Platte,2
1987-02-01,Yampa_White_N_Platte,-2.5
1987-02-01,Arkansas,0.5
1987-02-01,Rio_Grande,1.2
1987-02-01,San_Juan,0.9
1987-03-01,Gunnison,0.7
1987-03-01,Colorado,-1.8
1987-03-01,South_Platte,2.1
1987-03-01,Yampa_White_N_Platte,-3
1987-03-01,Arkansas,0.1
1987-03-01,Rio_Grande,1.1
1987-03-01,San_Juan,1.1
1987-04-01,Gunnison,1.1
1987-04-01,Colorado,-2.1
1987-04-01,South_Platte,2.1
1987-04-01,Yampa_White_N_Platte,-3.4
1987-04-01,Arkansas,0.1
1987-04-01,Rio_Grande,2.4
1987-04-01,San_Juan,2
1987-05-01,Gunnison,0.5
1987-05-01,Colorado,-2.7
1987-05-01,South_Platte,1.6
1987-05-01,Yampa_White_N_Platte,-3.4
1987-05-01,Arkansas,-1.2
1987-05-01,Rio_Grande,2.2
1987-05-01,San_Juan,1.6
1987-06-01,Gunnison,2.9
1987-06-01,Colorado,0.4
1987-06-01,South_Platte,3.9
1987-06-01,Yampa_White_N_Platte,-1
1987-06-01,Arkansas,3.6
1987-06-01,Rio_Grande,2.8
1987-06-01,San_Juan,2.5
1987-07-01,Gunnison,1.2
1987-07-01,Colorado,-1.7
1987-07-01,South_Platte,3.2
1987-07-01,Yampa_White_N_Platte,-3.1
1987-07-01,Arkansas,3.1
1987-07-01,Rio_Grande,2.7
1987-07-01,San_Juan,2.3
1987-08-01,Gunnison,-0.2
1987-08-01,Colorado,-2.4
1987-08-01,South_Platte,2.5
1987-08-01,Yampa_White_N_Platte,-1.3
1987-08-01,Arkansas,1
1987-08-01,Rio_Grande,1.9
1987-08-01,San_Juan,1.9
1987-09-01,Gunnison,1.9
1987-09-01,Colorado,1.6
1987-09-01,South_Platte,2.3
1987-09-01,Yampa_White_N_Platte,1.8
1987-09-01,Arkansas,3.8
1987-09-01,Rio_Grande,3.3
1987-09-01,San_Juan,3.3
1987-10-01,Gunnison,2.1
1987-10-01,Colorado,0.8
1987-10-01,South_Platte,3
1987-10-01,Yampa_White_N_Platte,-2.7
1987-10-01,Arkansas,2.7
1987-10-01,Rio_Grande,1
1987-10-01,San_Juan,0.8
1987-11-01,Gunnison,-0.4
1987-11-01,Colorado,-0.1
1987-11-01,South_Platte,3.2
1987-11-01,Yampa_White_N_Platte,-1.5
1987-11-01,Arkansas,1.7
1987-11-01,Rio_Grande,-0.5
1987-11-01,San_Juan,-0.6
1987-12-01,Gunnison,2.6
1987-12-01,Colorado,2.3
1987-12-01,South_Platte,2.8
1987-12-01,Yampa_White_N_Platte,2.6
1987-12-01,Arkansas,1.8
1987-12-01,Rio_Grande,2.4
1987-12-01,San_Juan,3.1
1988-01-01,Gunnison,-1
1988-01-01,Colorado,1.9
1988-01-01,South_Platte,-1.1
1988-01-01,Yampa_White_N_Platte,-1.1
1988-01-01,Arkansas,-0.6
1988-01-01,Rio_Grande,-0.5
1988-01-01,San_Juan,0.2
1988-02-01,Gunnison,0.2
1988-02-01,Colorado,0.5
1988-02-01,South_Platte,2.1
1988-02-01,Yampa_White_N_Platte,0.1
1988-02-01,Arkansas,-0.2
1988-02-01,Rio_Grande,0.1
1988-02-01,San_Juan,0.2
1988-03-01,Gunnison,-0.8
1988-03-01,Colorado,0.6
1988-03-01,South_Platte,2
1988-03-01,Yampa_White_N_Platte,0
1988-03-01,Arkansas,-0.5
1988-03-01,Rio_Grande,-0.4
1988-03-01,San_Juan,-0.4
1988-04-01,Gunnison,-1.1
1988-04-01,Colorado,0
1988-04-01,South_Platte,1.9
1988-04-01,Yampa_White_N_Platte,0.5
1988-04-01,Arkansas,-1.9
1988-04-01,Rio_Grande,-1.4
1988-04-01,San_Juan,-1.4
1988-05-01,Gunnison,-0.9
1988-05-01,Colorado,0
1988-05-01,South_Platte,2.4
1988-05-01,Yampa_White_N_Platte,-0.7
1988-05-01,Arkansas,-1.9
1988-05-01,Rio_Grande,-1
1988-05-01,San_Juan,-1
1988-06-01,Gunnison,0.1
1988-06-01,Colorado,-1.2
1988-06-01,South_Platte,3.2
1988-06-01,Yampa_White_N_Platte,-0.5
1988-06-01,Arkansas,0.8
1988-06-01,Rio_Grande,-3.1
1988-06-01,San_Juan,-2.2
1988-07-01,Gunnison,-2.1
1988-07-01,Colorado,-0.9
1988-07-01,South_Platte,3.4
1988-07-01,Yampa_White_N_Platte,-0.3
1988-07-01,Arkansas,1.4
1988-07-01,Rio_Grande,-1.3
1988-07-01,San_Juan,-0.8
1988-08-01,Gunnison,-2.3
1988-08-01,Colorado,-1.9
1988-08-01,South_Platte,2.5
1988-08-01,Yampa_White_N_Platte,-1.5
1988-08-01,Arkansas,-0.6
1988-08-01,Rio_Grande,-1.4
1988-08-01,San_Juan,-1.3
1988-09-01,Gunnison,-3
1988-09-01,Colorado,-2.4
1988-09-01,South_Platte,3.1
1988-09-01,Yampa_White_N_Platte,-2.6
1988-09-01,Arkansas,0
1988-09-01,Rio_Grande,0
1988-09-01,San_Juan,0.8
1988-10-01,Gunnison,-2.2
1988-10-01,Colorado,-1.1
1988-10-01,South_Platte,3.1
1988-10-01,Yampa_White_N_Platte,-0.3
1988-10-01,Arkansas,0.2
1988-10-01,Rio_Grande,1.1
1988-10-01,San_Juan,2.5
1988-11-01,Gunnison,-1.1
1988-11-01,Colorado,-2.2
1988-11-01,South_Platte,2.2
1988-11-01,Yampa_White_N_Platte,-1.3
1988-11-01,Arkansas,0.1
1988-11-01,Rio_Grande,-0.6
1988-11-01,San_Juan,0.8
1988-12-01,Gunnison,0.2
1988-12-01,Colorado,0.7
1988-12-01,South_Platte,0.6
1988-12-01,Yampa_White_N_Platte,2.5
1988-12-01,Arkansas,0.8
1988-12-01,Rio_Grande,0
1988-12-01,San_Juan,1.2
1989-01-01,Gunnison,0.5
1989-01-01,Colorado,0
1989-01-01,South_Platte,0.5
1989-01-01,Yampa_White_N_Platte,0.1
1989-01-01,Arkansas,-0.2
1989-01-01,Rio_Grande,-0.7
1989-01-01,San_Juan,0.5
1989-02-01,Gunnison,-1
1989-02-01,Colorado,-1.7
1989-02-01,South_Platte,0.6
1989-02-01,Yampa_White_N_Platte,-1.3
1989-02-01,Arkansas,-1.1
1989-02-01,Rio_Grande,0.4
1989-02-01,San_Juan,0.5
1989-03-01,Gunnison,0.6
1989-03-01,Colorado,0
1989-03-01,South_Platte,1.8
1989-03-01,Yampa_White_N_Platte,-0.6
1989-03-01,Arkansas,-0.7
1989-03-01,Rio_Grande,1.8
1989-03-01,San_Juan,1.6
1989-04-01,Gunnison,-0.2
1989-04-01,Colorado,0
1989-04-01,South_Platte,0.8
1989-04-01,Yampa_White_N_Platte,-1.8
1989-04-01,Arkansas,-1.7
1989-04-01,Rio_Grande,0.5
1989-04-01,San_Juan,-0.1
1989-05-01,Gunnison,-1.3
1989-05-01,Colorado,-0.4
1989-05-01,South_Platte,0.8
1989-05-01,Yampa_White_N_Platte,-2.5
1989-05-01,Arkansas,-2.2
1989-05-01,Rio_Grande,-1.7
1989-05-01,San_Juan,-1.4
1989-06-01,Gunnison,-0.8
1989-06-01,Colorado,-1.4
1989-06-01,South_Platte,2.4
1989-06-01,Yampa_White_N_Platte,-3.3
1989-06-01,Arkansas,0.3
1989-06-01,Rio_Grande,-0.7
1989-06-01,San_Juan,-2.9
1989-07-01,Gunnison,-2.1
1989-07-01,Colorado,-2.6
1989-07-01,South_Platte,2.6
1989-07-01,Yampa_White_N_Platte,-3.5
1989-07-01,Arkansas,-0.3
1989-07-01,Rio_Grande,-1.8
1989-07-01,San_Juan,-2.9
1989-08-01,Gunnison,-1.9
1989-08-01,Colorado,-2.3
1989-08-01,South_Platte,1.7
1989-08-01,Yampa_White_N_Platte,-2.8
1989-08-01,Arkansas,1.2
1989-08-01,Rio_Grande,-1.4
1989-08-01,San_Juan,-2
1989-09-01,Gunnison,-2.5
1989-09-01,Colorado,-1.2
