"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1985-10-01&before=2023-03-15&filename=Green%20Mountain%20Reservoir%20Dam%20and%20Powerplant%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%281985-10-01%20-%202023-03-15%29&itemId=23&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Green Mountain Reservoir Dam and Powerplant","CO","(-106.3133, 39.8789)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","398","cfs","daily","average","1985-11-30 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","406","cfs","daily","average","1985-12-01 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","407","cfs","daily","average","1985-12-02 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","406","cfs","daily","average","1985-12-03 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","401","cfs","daily","average","1985-12-04 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","401","cfs","daily","average","1985-12-05 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","400","cfs","daily","average","1985-12-06 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","398","cfs","daily","average","1985-12-07 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","399","cfs","daily","average","1985-12-08 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","403","cfs","daily","average","1985-12-09 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","402","cfs","daily","average","1985-12-10 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","405","cfs","daily","average","1985-12-11 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","400","cfs","daily","average","1985-12-12 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","412","cfs","daily","average","1985-12-13 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","411","cfs","daily","average","1985-12-14 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","409","cfs","daily","average","1985-12-15 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","404","cfs","daily","average","1985-12-16 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","399","cfs","daily","average","1985-12-17 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","397","cfs","daily","average","1985-12-18 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","406","cfs","daily","average","1985-12-19 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","403","cfs","daily","average","1985-12-20 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","408","cfs","daily","average","1985-12-21 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","404","cfs","daily","average","1985-12-22 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","408","cfs","daily","average","1985-12-23 19:00:00"
