"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1994-11-01&before=2023-03-15&filename=Shadow%20Mountain%20Lake%20and%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%281994-11-01%20-%202023-03-15%29&itemId=740&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Shadow Mountain Lake and Dam","CO","(-105.8417, 40.2072)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","531","cfs","daily","average","1995-01-17 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","532","cfs","daily","average","1995-01-18 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","527","cfs","daily","average","1995-01-19 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","525","cfs","daily","average","1995-01-20 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","525","cfs","daily","average","1995-01-21 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","527","cfs","daily","average","1995-01-22 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","517","cfs","daily","average","1995-01-23 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","527","cfs","daily","average","1995-01-24 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","521","cfs","daily","average","1995-01-25 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","529","cfs","daily","average","1995-01-26 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","535","cfs","daily","average","1995-01-27 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","535","cfs","daily","average","1995-01-28 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","528","cfs","daily","average","1995-01-29 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","515","cfs","daily","average","1995-01-30 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","510","cfs","daily","average","1995-01-31 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","464","cfs","daily","average","1995-02-01 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","452","cfs","daily","average","1995-02-02 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","528","cfs","daily","average","1995-02-03 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","545","cfs","daily","average","1995-02-04 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","544","cfs","daily","average","1995-02-05 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","545","cfs","daily","average","1995-02-06 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","444","cfs","daily","average","1995-02-07 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","391","cfs","daily","average","1995-02-08 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","512","cfs","daily","average","1995-02-09 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","524","cfs","daily","average","1995-02-10 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","507","cfs","daily","average","1995-02-11 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","461","cfs","daily","average","1995-02-12 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","423","cfs","daily","average","1995-02-13 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","424","cfs","daily","average","1995-02-14 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","458","cfs","daily","average","1995-02-15 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","462","cfs","daily","average","1995-02-16 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","461","cfs","daily","average","1995-02-17 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","466","cfs","daily","average","1995-02-18 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","466","cfs","daily","average","1995-02-19 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","464","cfs","daily","average","1995-02-20 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","454","cfs","daily","average","1995-02-21 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","448","cfs","daily","average","1995-02-22 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","448","cfs","daily","average","1995-02-23 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","452","cfs","daily","average","1995-02-24 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","455","cfs","daily","average","1995-02-25 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","453","cfs","daily","average","1995-02-26 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","454","cfs","daily","average","1995-02-27 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","452","cfs","daily","average","1995-02-28 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","444","cfs","daily","average","1995-03-01 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","446","cfs","daily","average","1995-03-02 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","448","cfs","daily","average","1995-03-03 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","446","cfs","daily","average","1995-03-04 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","447","cfs","daily","average","1995-03-05 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","440","cfs","daily","average","1995-03-06 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","426","cfs","daily","average","1995-03-07 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","371","cfs","daily","average","1995-03-08 19:00:00"
