"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1991-05-23&before=1999-07-01&filename=Carter%20Lake%20Reservoir%20and%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Spillway-cfs%20Time%20Series%20Data%20%281991-05-23%20-%201999-07-01%29&itemId=11&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Carter Lake Reservoir and Dam ","CO","(-105.2119, 40.3242)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","446.14","cfs","daily","average","1991-07-21 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","444.45","cfs","daily","average","1991-07-22 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","334.84","cfs","daily","average","1991-07-23 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","252.62","cfs","daily","average","1991-07-24 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","240.12","cfs","daily","average","1991-07-25 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","208.12","cfs","daily","average","1991-07-26 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","156.48","cfs","daily","average","1991-07-27 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","138.36","cfs","daily","average","1991-07-28 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","103.29","cfs","daily","average","1991-07-29 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","114.31","cfs","daily","average","1991-07-30 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","127.77","cfs","daily","average","1991-07-31 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","261.73","cfs","daily","average","1991-08-01 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","205.01","cfs","daily","average","1991-08-02 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","219.13","cfs","daily","average","1991-08-03 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","186.04","cfs","daily","average","1991-08-04 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","167.35","cfs","daily","average","1991-08-05 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","136.21","cfs","daily","average","1991-08-06 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","119.03","cfs","daily","average","1991-08-07 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","107.74","cfs","daily","average","1991-08-08 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","101.95","cfs","daily","average","1991-08-09 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","90.01","cfs","daily","average","1991-08-10 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","83.7","cfs","daily","average","1991-08-11 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","84.55","cfs","daily","average","1991-08-12 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","90.47","cfs","daily","average","1991-08-13 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","92.75","cfs","daily","average","1991-08-14 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","92.74","cfs","daily","average","1991-08-15 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","92.71","cfs","daily","average","1991-08-16 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","92.67","cfs","daily","average","1991-08-17 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","92.67","cfs","daily","average","1991-08-18 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","92.59","cfs","daily","average","1991-08-19 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","111.92","cfs","daily","average","1991-08-20 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","143.8","cfs","daily","average","1991-08-21 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","160.94","cfs","daily","average","1991-08-22 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","228.3","cfs","daily","average","1991-08-23 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","298.06","cfs","daily","average","1991-08-24 19:00:00"
