"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1984-10-01&before=2023-03-14&filename=Pueblo%20Reservoir%20and%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%281984-10-01%20-%202023-03-14%29&itemId=684&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Pueblo Reservoir and Dam","CO","(-104.7181, 38.2597)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","106","cfs","daily","average","1984-12-27 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","106","cfs","daily","average","1984-12-28 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","106","cfs","daily","average","1984-12-29 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","106","cfs","daily","average","1984-12-30 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","106","cfs","daily","average","1984-12-31 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","106","cfs","daily","average","1985-01-01 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","137","cfs","daily","average","1985-01-02 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","229","cfs","daily","average","1985-01-03 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","397","cfs","daily","average","1985-01-04 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","500","cfs","daily","average","1985-01-05 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","490","cfs","daily","average","1985-01-06 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","475","cfs","daily","average","1985-01-07 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","468","cfs","daily","average","1985-01-08 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","437","cfs","daily","average","1985-01-09 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","422","cfs","daily","average","1985-01-10 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","422","cfs","daily","average","1985-01-11 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","422","cfs","daily","average","1985-01-12 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","418","cfs","daily","average","1985-01-13 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","418","cfs","daily","average","1985-01-14 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","418","cfs","daily","average","1985-01-15 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","418","cfs","daily","average","1985-01-16 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","418","cfs","daily","average","1985-01-17 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","418","cfs","daily","average","1985-01-18 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","414","cfs","daily","average","1985-01-19 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","414","cfs","daily","average","1985-01-20 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","414","cfs","daily","average","1985-01-21 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","414","cfs","daily","average","1985-01-22 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","590","cfs","daily","average","1985-01-23 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","695","cfs","daily","average","1985-01-24 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","730","cfs","daily","average","1985-01-25 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","788","cfs","daily","average","1985-01-26 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","788","cfs","daily","average","1985-01-27 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","751","cfs","daily","average","1985-01-28 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","743","cfs","daily","average","1985-01-29 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","706","cfs","daily","average","1985-01-30 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","706","cfs","daily","average","1985-01-31 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","706","cfs","daily","average","1985-02-01 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","706","cfs","daily","average","1985-02-02 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","706","cfs","daily","average","1985-02-03 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","706","cfs","daily","average","1985-02-04 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","706","cfs","daily","average","1985-02-05 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","706","cfs","daily","average","1985-02-06 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","706","cfs","daily","average","1985-02-07 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","749","cfs","daily","average","1985-02-08 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","783","cfs","daily","average","1985-02-09 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","783","cfs","daily","average","1985-02-10 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","852","cfs","daily","average","1985-02-11 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","950","cfs","daily","average","1985-02-12 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1023","cfs","daily","average","1985-02-13 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1094","cfs","daily","average","1985-02-14 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1022","cfs","daily","average","1985-02-15 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","925","cfs","daily","average","1985-02-16 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","925","cfs","daily","average","1985-02-17 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","925","cfs","daily","average","1985-02-18 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","925","cfs","daily","average","1985-02-19 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","971","cfs","daily","average","1985-02-20 19:00:00"
