Basin,HUC8,HUC8 Name,Report Year,Report Month,Component Type,Component ID,Component Name,Component Volume,Component NEP
South Platte,10190012,Middle South Platte-Sterling,2018,4,ForecastedRunoff,06727000,BOULDER CREEK NEAR ORODELL,49000.00,33.83
South Platte,10190012,Middle South Platte-Sterling,2018,4,ForecastedRunoff,06729500,"SOUTH BOULDER CK NR ELDORADO SPRINGS, CO",32000.00,29.31
South Platte,10190012,Middle South Platte-Sterling,2018,4,ForecastedRunoff,06738000,"BIG THOMPSON R AT MOUTH, NR DRAKE, CO",75000.00,32.59
South Platte,10190012,Middle South Platte-Sterling,2018,4,ForecastedRunoff,06752000,CACHE LA POUDRE R AT CANYON MOUTH,215000.00,43.37
South Platte,10190012,Middle South Platte-Sterling,2018,4,ReservoirStorage,06016110,EMPIRE RESERVOIR,36400.00,98.51
South Platte,10190012,Middle South Platte-Sterling,2018,4,ReservoirStorage,06016160,JACKSON LAKE RESERVOIR,25800.00,19.80
South Platte,10190012,Middle South Platte-Sterling,2018,4,ReservoirStorage,06016170,JULESBURG RESERVOIR,20700.00,74.05
South Platte,10190012,Middle South Platte-Sterling,2018,4,ReservoirStorage,06016240,POINT OF ROCKS RESERVOIR,69000.00,82.39
South Platte,10190012,Middle South Platte-Sterling,2018,4,ReservoirStorage,06016250,PREWITT RESERVOIR,23900.00,76.12
South Platte,10190012,Middle South Platte-Sterling,2018,4,ReservoirStorage,06016270,RIVERSIDE RESERVOIR,55400.00,70.72
Yampa-White,10180001,North Platte Headwaters,2018,4,ForecastedRunoff,06620000,NORTH PLATTE R NR NORTHGATE,194000.00,40.90
Yampa-White,14050001,Upper Yampa,2018,4,ForecastedRunoff,09239500,YAMPA RIVER AT STEAMBOAT SPRINGS,160000.00,17.78
Yampa-White,14050001,Upper Yampa,2018,4,ForecastedRunoff,09242500,"ELK RIVER NEAR MILNER, CO",245000.00,24.62
