"","basin","report_year","report_month","swsi","nep","swsi_previous_month","change_from_previous_month","swsi_previous_year","change_from_previous_year"
"161","Yampa-White",2012,8,-3.59,6.92,-4.04,0.45,4.04,-7.63
"162","Arkansas",2012,9,-1.74,29.09,-2.08,0.34,0.46,-2.2
"163","Colorado",2012,9,-3.56,7.22,-3.67,0.11,3.39,-6.95
"164","Gunnison",2012,9,-3.63,6.46,-3.64,0.01,2.5,-6.13
"165","Rio Grande",2012,9,-2.75,16.98,-2.91,0.16,-1.54,-1.21
"166","San Juan-Dolores",2012,9,-0.99,38.11,-1.92,0.93,0.96,-1.95
"167","South Platte",2012,9,-3.4,9.25,-3.63,0.23,3.2,-6.6
"168","Yampa-White",2012,9,-2.67,17.95,-3.59,0.92,4.04,-6.71
"169","Arkansas",2012,10,-1.2,35.55,-1.74,0.54,0.88,-2.08
"170","Colorado",2012,10,-3.69,5.76,-3.56,-0.13,3.56,-7.25
"171","Gunnison",2012,10,-3.61,6.67,-3.63,0.02,2.05,-5.66
"172","Rio Grande",2012,10,-1.88,27.4,-2.75,0.87,-0.66,-1.22
"173","San Juan-Dolores",2012,10,-0.63,42.48,-0.99,0.36,1.62,-2.25
"174","South Platte",2012,10,-3.25,10.96,-3.4,0.15,3.34,-6.59
"175","Yampa-White",2012,10,0.33,53.97,-2.67,3,3.6,-3.27
"176","Arkansas",2012,11,-1.5,32,-1.2,-0.3,0.96,-2.46
"177","Colorado",2012,11,-3.69,5.72,-3.69,0,3.04,-6.73
"178","Gunnison",2012,11,-3.6,6.85,-3.61,0,1.41,-5.01
"179","Rio Grande",2012,11,-1.6,30.82,-1.88,0.28,-0.38,-1.22
"180","San Juan-Dolores",2012,11,-0.62,42.51,-0.63,0.01,1.51,-2.13
"181","South Platte",2012,11,-3.42,8.94,-3.25,-0.17,3.1,-6.52
"182","Yampa-White",2012,11,0.37,54.47,0.33,0.04,3.63,-3.26
"183","Arkansas",2012,12,-1.58,31.1,-1.5,-0.08,0.81,-2.39
"184","Colorado",2012,12,-3.68,5.83,-3.69,0,3.54,-7.22
"185","Gunnison",2012,12,-3.59,6.98,-3.6,0.01,2.47,-6.06
"186","Rio Grande",2012,12,-1.93,26.79,-1.6,-0.33,-0.68,-1.25
"187","San Juan-Dolores",2012,12,-0.63,42.43,-0.62,-0.01,1.57,-2.2
"188","South Platte",2012,12,-3.39,9.28,-3.42,0.02,3.49,-6.88
"189","Yampa-White",2012,12,0.41,54.96,0.37,0.04,3.74,-3.33
"190","Arkansas",2013,1,-2.24,23.18,-1.58,-0.66,-0.01,-2.23
"191","Colorado",2013,1,-2.71,17.44,-3.68,0.97,-1.97,-0.74
"192","Gunnison",2013,1,-3.33,9.99,-3.59,0.26,-1.8,-1.53
"193","Rio Grande",2013,1,-2.4,21.23,-1.93,-0.47,-0.16,-2.24
"194","San Juan-Dolores",2013,1,-2.61,18.65,-0.63,-1.98,-0.43,-2.18
"195","South Platte",2013,1,-3.35,9.79,-3.39,0.04,1.12,-4.47
"196","Yampa-White",2013,1,-1.87,27.54,0.41,-2.28,-1.65,-0.22
"197","Arkansas",2013,2,-2.36,21.71,-2.24,-0.12,-0.16,-2.2
"198","Colorado",2013,2,-3.24,11.13,-2.71,-0.53,-1.75,-1.49
"199","Gunnison",2013,2,-3.32,10.22,-3.33,0.01,-1.83,-1.49
"200","Rio Grande",2013,2,-1.81,28.3,-2.4,0.59,-0.78,-1.03
"201","San Juan-Dolores",2013,2,-2.22,23.36,-2.61,0.39,-0.56,-1.66
"202","South Platte",2013,2,-3.77,4.81,-3.35,-0.42,1.03,-4.8
"203","Yampa-White",2013,2,-2.42,20.93,-1.87,-0.55,-1.88,-0.54
"204","Arkansas",2013,3,-2.38,21.4,-2.36,-0.02,-0.31,-2.07
"205","Colorado",2013,3,-3.44,8.71,-3.24,-0.2,-1.71,-1.73
"206","Gunnison",2013,3,-3.62,6.54,-3.32,-0.3,-1.33,-2.29
"207","Rio Grande",2013,3,-2.09,24.87,-1.81,-0.28,-0.28,-1.81
"208","San Juan-Dolores",2013,3,-2.65,18.15,-2.22,-0.43,-0.24,-2.41
"209","South Platte",2013,3,-3.7,5.56,-3.77,0.06,1.18,-4.88
"210","Yampa-White",2013,3,-2.61,18.72,-2.42,-0.19,-1.26,-1.35
"211","Arkansas",2013,4,-2.68,17.86,-2.38,-0.3,-1.14,-1.54
"212","Colorado",2013,4,-3.54,7.52,-3.44,-0.1,-3.35,-0.19
"213","Gunnison",2013,4,-3.73,5.23,-3.62,-0.11,-2.8,-0.93
"214","Rio Grande",2013,4,-3.52,7.78,-2.09,-1.43,-1.84,-1.68
"215","San Juan-Dolores",2013,4,-3.01,13.83,-2.65,-0.36,-1.92,-1.09
"216","South Platte",2013,4,-3.74,5.11,-3.7,-0.04,-0.74,-3
"217","Yampa-White",2013,4,-3.26,10.87,-2.61,-0.65,-3.23,-0.02
"218","Arkansas",2013,5,-2.34,21.94,-2.68,0.34,-1.93,-0.41
"219","Colorado",2013,5,-1.83,28.06,-3.54,1.71,-3.44,1.61
"220","Gunnison",2013,5,-3.38,9.47,-3.73,0.35,-3.24,-0.14
"221","Rio Grande",2013,5,-3.7,5.66,-3.52,-0.18,-3.67,-0.03
"222","San Juan-Dolores",2013,5,-3.07,13.2,-3.01,-0.06,-1.5,-1.57
"223","South Platte",2013,5,-2.77,16.73,-3.74,0.97,-2.6,-0.17
"224","Yampa-White",2013,5,-1.82,28.2,-3.26,1.44,-3.73,1.91
"225","Arkansas",2013,6,-2.73,17.28,-2.34,-0.39,-1.2,-1.53
"226","Colorado",2013,6,-1.3,34.38,-1.83,0.53,-1.71,0.41
"227","Gunnison",2013,6,-3.5,8.02,-3.38,-0.12,-2.19,-1.31
"228","Rio Grande",2013,6,-1.91,27.06,-3.7,1.79,0.61,-2.52
"229","San Juan-Dolores",2013,6,-2.56,19.31,-3.07,0.51,1.25,-3.81
"230","South Platte",2013,6,-1.46,32.52,-2.77,1.31,-1.94,0.48
"231","Yampa-White",2013,6,1.78,71.37,-1.82,3.6,-0.78,2.56
"232","Arkansas",2013,7,-2.3,22.43,-2.73,0.43,-2.19,-0.11
"233","Colorado",2013,7,-1.6,30.81,-1.3,-0.3,-3.84,2.24
"234","Gunnison",2013,7,-3.53,7.6,-3.5,-0.02,-3.67,0.14
"235","Rio Grande",2013,7,-3.66,6.03,-1.91,-1.75,-3.66,0
"236","San Juan-Dolores",2013,7,-3.26,10.91,-2.56,-0.7,-2.79,-0.47
"237","South Platte",2013,7,-2.95,14.65,-1.46,-1.49,-3.63,0.68
"238","Yampa-White",2013,7,-2.17,23.95,1.78,-3.95,-4.04,1.87
"239","Arkansas",2013,8,-2.42,21.02,-2.3,-0.12,-2.08,-0.34
"240","Colorado",2013,8,-2.52,19.81,-1.6,-0.92,-3.67,1.15
