abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified,
"BOCBGRCO","=""12/27/1986 00:00""","85.7","cfs","","","=""12/27/1986 23:00""",
"BOCBGRCO","=""12/28/1986 00:00""","84.8","cfs","","","=""12/28/1986 23:45""",
"BOCBGRCO","=""12/29/1986 00:00""","84.4","cfs","","","=""12/29/1986 23:45""",
"BOCBGRCO","=""12/30/1986 00:00""","84.3","cfs","","","=""12/30/1986 23:45""",
"BOCBGRCO","=""12/31/1986 00:00""","84.4","cfs","","","=""12/31/1986 23:45""",
"BOCBGRCO","=""01/01/1987 00:00""","84.6","cfs","","","=""01/01/1987 23:45""",
"BOCBGRCO","=""01/02/1987 00:00""","84.3","cfs","","","=""01/02/1987 23:45""",
"BOCBGRCO","=""01/03/1987 00:00""","84.3","cfs","","","=""01/03/1987 23:45""",
"BOCBGRCO","=""01/04/1987 00:00""","84.3","cfs","","","=""01/04/1987 23:45""",
"BOCBGRCO","=""01/05/1987 00:00""","84.3","cfs","","","=""01/05/1987 23:45""",
"BOCBGRCO","=""01/06/1987 00:00""","83.5","cfs","","","=""01/06/1987 23:45""",
"BOCBGRCO","=""01/07/1987 00:00""","82.9","cfs","","","=""01/07/1987 23:45""",
"BOCBGRCO","=""01/08/1987 00:00""","82.9","cfs","","","=""01/08/1987 23:45""",
"BOCBGRCO","=""01/09/1987 00:00""","85.8","cfs","","","=""01/09/1987 23:45""",
"BOCBGRCO","=""01/10/1987 00:00""","87.2","cfs","","","=""01/10/1987 23:45""",
"BOCBGRCO","=""01/11/1987 00:00""","87.2","cfs","","","=""01/11/1987 23:45""",
"BOCBGRCO","=""01/12/1987 00:00""","87.2","cfs","","","=""01/12/1987 23:45""",
"BOCBGRCO","=""01/13/1987 00:00""","87.2","cfs","","","=""01/13/1987 23:45""",
"BOCBGRCO","=""01/14/1987 00:00""","87.2","cfs","","","=""01/14/1987 23:45""",
"BOCBGRCO","=""01/15/1987 00:00""","87.2","cfs","","","=""01/15/1987 23:45""",
"BOCBGRCO","=""01/16/1987 00:00""","87.2","cfs","","","=""01/16/1987 23:45""",
"BOCBGRCO","=""01/17/1987 00:00""","87.1","cfs","","","=""01/17/1987 23:45""",
"BOCBGRCO","=""01/18/1987 00:00""","86.3","cfs","","","=""01/18/1987 23:45""",
